run,shift_mm,lift_mm,kp,kd,timing_scale,friction_scale,returncode,pass,reason,clearance_mm,support_margin_mm,roll_deg,pitch_deg,peak_torque_nm,tracking_error_rad,joint_rate_rad_s,touchdown_velocity_m_s,final_joint_error_rad
120,70,14,180,3.5,0.75,1.5,0,True,,11.489607569999999,82.26137654,0.772872371,1.182267438,10.5540677,0.05901307237,0.5069070907,-0.0004845447968,0.3966962675
121,70,14,180,3.5,1.0,0.5,0,True,,8.860339087,84.88397812,0.4624767524,0.7981291932,10.35536896,0.05739613926,0.6358433803,-0.0004834249506,0.395637974
122,70,14,180,3.5,1.0,1.0,0,True,,8.860339087,84.88397812,0.4624767524,0.7981291932,10.35536896,0.05739613926,0.6358433803,-0.0004834249506,0.395637974
123,70,14,180,3.5,1.0,1.5,0,True,,11.348934810000001,82.69525212,0.7527770183,1.149904832,10.35735311,0.05775386086,0.5069070907,-0.0009813604872,0.3966955371
124,70,14,180,3.5,1.25,0.5,0,True,,8.843728437000001,84.93859350000001,0.4594834572,0.7942842153,10.35542646,0.05712087853,0.6358433803,-0.0007169081254,0.3956385348
125,70,14,180,3.5,1.25,1.0,0,True,,8.843728437000001,84.93859350000001,0.4594834572,0.7942842153,10.35542646,0.05712087853,0.6358433803,-0.0007169081254,0.3956385348
126,70,14,180,3.5,1.25,1.5,0,True,,11.34530106,82.84296092,0.7464403221,1.139002681,10.35731474,0.0572485813,0.5069070907,-0.0007780209892,0.3966959343
127,70,15,140,2.5,0.75,0.5,0,True,,9.305245724999999,79.03545371999999,0.6054464007,1.095187482,10.81798613,0.07762592318,0.8088331093,-0.01361368375,0.4022283159
128,70,15,140,2.5,0.75,1.0,0,True,,9.305245724999999,79.03545371999999,0.6054464007,1.095187482,10.81798613,0.07762592318,0.8088331093,-0.01361368375,0.4022283159
129,70,15,140,2.5,0.75,1.5,0,True,,12.54860501,75.6928264,0.9275604963,1.538879922,11.01914048,0.07896771739,0.6532454079,-0.0008341784545,0.4037477379
130,70,15,140,2.5,1.0,0.5,0,True,,9.315307812,79.25979831000001,0.5928820314,1.080539677,10.72188935,0.07615106308,0.8088331093,-0.00056930145,0.4022280641
131,70,15,140,2.5,1.0,1.0,0,True,,9.315307812,79.25979831000001,0.5928820314,1.080539677,10.72188935,0.07615106308,0.8088331093,-0.00056930145,0.4022280641
132,70,15,140,2.5,1.0,1.5,0,True,,12.417840810000001,76.46871177,0.8926384449,1.481462497,10.75214658,0.07694691866,0.6532454079,-0.0005557447835,0.403756631
133,70,15,140,2.5,1.25,0.5,0,True,,9.273552882,79.249475,0.589969876,1.080502002,10.7218939,0.07615091827,0.8088331093,-0.0006211030982,0.4022314146
134,70,15,140,2.5,1.25,1.0,0,True,,9.273552882,79.249475,0.589969876,1.080502002,10.7218939,0.07615091827,0.8088331093,-0.0006211030982,0.4022314146
135,70,15,140,2.5,1.25,1.5,0,True,,12.412043109999999,76.67356869,0.8836197638,1.466131327,10.7522132,0.07635790069,0.6532454079,-0.0005868805627,0.4037561279
136,70,15,180,3.5,0.75,0.5,0,True,,9.86805918,84.70501208,0.4718229271,0.8101639644,10.44968353,0.05842715577,0.6358433803,-0.01594688229,0.3956374587
137,70,15,180,3.5,0.75,1.0,0,True,,9.86805918,84.70501208,0.4718229271,0.8101639644,10.44968353,0.05842715577,0.6358433803,-0.01594688229,0.3956374587
138,70,15,180,3.5,0.75,1.5,0,True,,12.47968053,82.26137654,0.772872371,1.182267438,10.5540677,0.05901307237,0.5069070907,-0.001102658379,0.3966961898
139,70,15,180,3.5,1.0,0.5,0,True,,9.85960751,84.88397812,0.4624767524,0.7981291932,10.35536338,0.05739613926,0.6358433803,-0.0003155835952,0.3956377334
140,70,15,180,3.5,1.0,1.0,0,True,,9.85960751,84.88397812,0.4624767524,0.7981291932,10.35536338,0.05739613926,0.6358433803,-0.0003155835952,0.3956377334
141,70,15,180,3.5,1.0,1.5,0,True,,12.352185200000001,82.69525212,0.7527770183,1.149904832,10.35735402,0.05775386086,0.5069070907,-0.00103670454,0.3966954655
142,70,15,180,3.5,1.25,0.5,0,True,,9.844618917,84.93859350000001,0.4594834572,0.7942842153,10.35542061,0.05712083089,0.6358433803,-0.0007050479829,0.3956384124
143,70,15,180,3.5,1.25,1.0,0,True,,9.844618917,84.93859350000001,0.4594834572,0.7942842153,10.35542061,0.05712083089,0.6358433803,-0.0007050479829,0.3956384124
144,70,15,180,3.5,1.25,1.5,0,True,,12.34868054,82.84296092,0.7464403221,1.139002681,10.35732381,0.0572485813,0.5069070907,-0.0007703878117,0.3966957699
145,70,16,140,2.5,0.75,0.5,0,True,,10.3077567,79.03545371999999,0.6054464007,1.095187482,10.81798613,0.07762592318,0.8088331093,-0.01458119993,0.4022282402
146,70,16,140,2.5,0.75,1.0,0,True,,10.3077567,79.03545371999999,0.6054464007,1.095187482,10.81798613,0.07762592318,0.8088331093,-0.01458119993,0.4022282402
147,70,16,140,2.5,0.75,1.5,0,True,,13.54596918,75.6928264,0.9275604963,1.538879922,11.01914048,0.07896771739,0.6532454079,-0.0006581495292,0.4037460853
148,70,16,140,2.5,1.0,0.5,0,True,,10.31505917,79.25979831000001,0.5928820314,1.080539677,10.72188927,0.0761509962,0.8088331093,-0.0004541226044,0.4022279809
149,70,16,140,2.5,1.0,1.0,0,True,,10.31505917,79.25979831000001,0.5928820314,1.080539677,10.72188927,0.0761509962,0.8088331093,-0.0004541226044,0.4022279809
150,70,16,140,2.5,1.0,1.5,0,True,,13.42145544,76.46871177,0.8926384449,1.481462497,10.75212852,0.07694691866,0.6532454079,-0.0006124086391,0.403756421
